"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
200,"M","1955/12/04","2020/03/09",102831.55,65,0
201,"M","1955/10/22","2018/01/20",318787,65,2
202,"F","1935/10/05","2003/09/29",47261.15,85,17
203,"F","1955/10/28","2015/12/26",324120,65,5
204,"F","1956/01/23","2018/01/20",66939.45,64,2
205,"M","1955/11/14","2018/01/21",219673.25,65,2
206,"M","1955/11/19","2017/10/19",182252.2,65,3
207,"M","1955/12/11","2017/12/23",130179.55,65,3
208,"M","1955/08/13","2017/07/22",94240.85,65,3
209,"F","1955/12/16","2017/04/01",322912,65,3
210,"M","1955/12/02","2017/12/23",321273.55,65,3
211,"F","1955/12/28","2015/11/28",164267.05,65,5
212,"M","1955/12/08","2017/11/24",77142.3,65,3
213,"F","1956/01/28","2016/01/08",167776.95,64,4
214,"M","1956/03/14","2018/03/31",84178.05,64,2
215,"F","1952/12/26","2013/05/01",140768.1,68,7
216,"M","1955/12/21","2017/11/25",164287.75,65,3
217,"F","1943/04/16","2005/06/25",115164.65,77,15
218,"M","1955/05/04","2017/05/27",322912,65,3
219,"M","1956/03/05","2018/02/20",191155.4,64,2
220,"M","1956/02/24","2018/02/17",131848.6,64,2
221,"M","1956/01/11","2017/12/23",175809.55,64,3
222,"F","1955/11/11","2015/11/29",324120,65,5
223,"F","1956/01/06","2015/12/11",160596.9,64,5
224,"F","1955/08/16","2015/07/27",163820.05,65,5
225,"M","1955/12/20","2017/12/24",118341.6,65,3
226,"F","1956/02/13","2017/05/27",168807.5,64,3
227,"M","1956/01/16","2017/12/23",193448.5,64,3
228,"M","1956/02/04","2018/02/17",318787,64,2
229,"M","1956/03/10","2018/09/01",324120,64,2
230,"F","1955/10/12","2015/10/01",184017.5,65,5
231,"M","1956/03/12","2018/03/17",318787,64,2
232,"M","1956/03/30","2017/01/21",208690.5,64,3
233,"F","1956/03/29","2019/06/22",148563.95,64,1
234,"M","1956/03/23","2018/02/24",183933.05,64,2
235,"M","1956/03/01","2018/04/28",71815.35,64,2
236,"F","1956/05/25","2016/04/30",171444.6,64,4
237,"F","1956/03/20","2016/02/20",79213.15,64,4
238,"M","1956/05/09","2018/04/28",166115.45,64,2
239,"F","1956/05/20","2017/04/01",204439.2,64,3
240,"F","1956/05/28","2016/04/30",165172.55,64,4
241,"M","1956/02/11","2018/01/20",166470.55,64,2
242,"F","1955/12/06","2015/11/06",166513.1,65,5
243,"F","1956/06/02","2016/05/27",324120,64,4
244,"F","1956/06/16","2016/06/24",69202.75,64,4
245,"M","1955/12/27","2017/12/23",199984.35,65,3
246,"F","1953/12/13","2013/12/04",146410.2,67,7
247,"F","1955/11/14","2016/01/27",132376.1,65,4
248,"M","1956/02/15","2018/02/17",121142.6,64,2
249,"F","1956/03/26","2016/04/30",324120,64,4
250,"M","1955/09/22","2017/09/30",235435.7,65,3
251,"F","1956/02/24","2016/01/25",170424.65,64,4
252,"F","1956/02/29","2016/02/20",324120,64,4
253,"F","1956/06/27","2016/05/27",324120,64,4
254,"F","1956/01/05","2016/02/20",174673.65,64,4
255,"F","1956/02/16","2016/01/25",233044.1,64,4
256,"M","1956/05/06","2018/07/21",112454.7,64,2
257,"M","1956/02/18","2018/11/24",324120,64,2
258,"M","1956/06/25","2018/05/26",148891.15,64,2
259,"M","1956/06/15","2018/06/24",81864.65,64,2
260,"M","1956/07/07","2018/12/22",292548.8,64,2
261,"F","1946/07/11","2006/06/11",84201.1,74,14
262,"F","1956/07/29","2016/07/23",181344.45,64,4
263,"F","1956/07/31","2017/02/28",137018.95,64,3
264,"M","1956/06/29","2018/06/23",111168.65,64,2
265,"M","1956/05/04","2018/04/28",152589.95,64,2
266,"F","1956/06/29","2016/10/29",324120,64,4
267,"F","1956/06/29","2016/06/29",324120,64,4
268,"F","1956/06/14","2016/07/23",164383.7,64,4
269,"M","1956/04/16","2018/03/31",189654.35,64,2
270,"M","1956/06/27","2018/07/21",280779.05,64,2
271,"M","1956/08/07","2018/07/21",117689.15,64,2
272,"M","1924/12/29","1986/01/16",115124.8,96,34
273,"M","1956/08/02","2018/07/21",176980.9,64,2
274,"F","1956/07/12","2016/06/25",157282.95,64,4
275,"F","1956/09/02","2016/08/06",146235.15,64,4
276,"M","1943/12/15","2008/04/02",68242.8,77,12
277,"M","1956/06/19","2018/05/26",146349.65,64,2
278,"F","1956/07/07","2016/07/23",324120,64,4
279,"F","1956/07/26","2016/06/29",173388.4,64,4
280,"M","1956/08/01","2019/01/19",91715.65,64,1
281,"F","1956/09/25","2016/09/05",155051.3,64,4
282,"M","1956/09/05","2018/12/22",205192.65,64,2
283,"F","1956/10/02","2017/09/30",67171.9,64,3
284,"F","1956/05/18","2016/06/25",226569.5,64,4
